,model_number,AUC,PublicLB,n_features,model_type,n_fold,n_estimators,early_stopping_rounds,random_state,n_threads,learning_rate,eval_metric,AUC_f1,AUC_f2,AUC_f3,AUC_f4,AUC_f5,avg_best_iteration,training_time,depth,shuffle,fe,av_threshold
0907_1028,M001,0.7893592415115165,,8.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.7673919499017842,0.801071771687246,0.8005685001439851,0.8077259087825726,0.7824561895936974,1766.0,467.0,,False,,
0907_1037,M003,0.8582773990092617,,52.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.8655574189820481,0.8448257057389841,0.8611022750609549,0.8750227786839888,0.8481150311304078,1339.0,970.0,,False,,
0907_1056,M004,0.903918213412344,,66.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.9017187328434648,0.9022299894363276,0.9011331986109272,0.9243586102810192,0.8934230775982444,1876.0,1292.0,,False,,
0907_1124,M005,0.9036429411766184,,56.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.8982735639623507,0.9011299218778518,0.9038740757079607,0.9221840075425388,0.896631430994516,2003.0,1196.0,,False,,
0907_1146,M006,0.9193319874063616,,81.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.9126684799008452,0.9173460846339824,0.9201978772404428,0.9360784625796632,0.9108657049447968,2093.0,1443.0,,False,,
0907_1416,M007,0.9132305833357399,,420.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.913650873510175,0.9124114732113778,0.9108573662402422,0.9262798808625456,0.9034026370917206,2072.0,1758.0,,False,,
0907_1500,M008,0.9140054319137668,,164.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.9115649181410382,0.9126799564921392,0.911339242953752,0.9285166302579378,0.9078841017329408,2031.0,1538.0,,False,,
0908_1412,M009,0.9221977485619828,0.9347,169.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.9168154356786784,0.9203359490434392,0.9245785539663596,0.9332122832596526,0.9154473087918548,2131.0,1526.0,,False,,
0908_1441,M010,0.9176503275430292,,501.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.912862658960182,0.9202919812715128,0.9150711881649634,0.9327577796408432,0.9078298161512188,2084.0,1736.0,,False,,
0908_1510,M011,0.9244862889258904,,162.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.9158876912840692,0.9206503348756696,0.9255170528994476,0.93879265407044,0.9190775405583202,2646.0,1764.0,7.0,False,,
0908_1800,M012,0.9240179778897688,,165.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.9137169105358712,0.9245593127657096,0.9235824232375976,0.9365250649447232,0.9182780796443532,2528.0,1696.0,7.0,False,,
0909_0900,M013,0.9246499059717621,,811.0,catboost,5.0,100000.0,500.0,529.0,48.0,0.1,AUC,0.9166898413224259,0.9294561913273442,0.9191590543437074,0.9353350730728488,0.9174836157656516,2601.0,2299.0,7.0,False,,
0909_2005,M014,0.92775433150648,0.9383,811.0,catboost,5.0,100000.0,100.0,529.0,48.0,0.1,AUC,0.9191261238188646,0.9293168778804728,0.92680315359089,0.9414906456025012,0.9239440574048364,400.0,2939.0,14.0,False,,
0909_2105,M015,0.9729557567285332,0.9343,811.0,catboost,5.0,100000.0,100.0,529.0,48.0,0.1,AUC,0.970495463096834,0.9741268342252224,0.97370384145107,0.9746108823086644,0.9726228229013921,1274.0,6713.0,14.0,True,,
0910_0906,M016,0.9379879224129088,0.946,810.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.01,auc,0.9224271463411552,0.9386988140092174,0.9381215910752152,0.9547652019009092,0.9344552434106796,1069.0,2888.0,14.0,False,,
0910_1006,M017,0.9385920322570804,,478.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.01,auc,0.9229564462702268,0.9382292422684568,0.9375817072633617,0.9541770352469312,0.9341163900478252,1041.0,2105.0,14.0,False,,
0910_1054,M018,0.9394426971888558,,810.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9232796421680904,0.9377641160471676,0.9387953268820723,0.9555025312320844,0.9342773308312828,2000.0,4914.0,14.0,False,,
0910_1259,M019,0.9343047950287868,0.9383,810.0,catboost,5.0,100000.0,100.0,529.0,48.0,0.005,AUC,0.9235588338454288,0.9329002703979296,0.9334045806068124,0.9484294588112964,0.9289278945417394,5858.0,26853.0,14.0,False,,
0912_0817,M020,0.9390351656521598,0.9462,817.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9233291561246542,0.9391541489039742,0.9383173759536312,0.9555695571759246,0.9337023287150948,2212.0,5407.0,14.0,False,,
0915_0900,M021,0.9395895218939336,0.9467,862.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9241926008253764,0.9387952547544728,0.9388627284615289,0.9555371190420298,0.9338088458295002,2225.0,5929.0,14.0,False,FE005,
0915_1127,M022,0.9397381389845396,0.9469,812.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9245999069109376,0.9388997980880472,0.9396317156888072,0.9550259986885218,0.9349469055078063,2250.0,5850.0,14.0,False,FE005,
0915_1409,M023,0.9398564388072412,,689.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.924188008867096,0.9389823524097972,0.9393118863280095,0.9555723985699576,0.9348831134764396,2075.0,5107.0,14.0,False,FE005,
0915_1727,M024,0.9382579451313678,,997.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9241274232571124,0.9380852335328864,0.9378428583496128,0.9538358386642098,0.934621299898202,2357.0,7247.0,14.0,False,FE006,
0915_2056,M025,0.9369540330657804,,452.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9200037649146712,0.9365489197861128,0.9361226138842051,0.9531557843463102,0.9316704750576996,2034.0,3783.0,14.0,False,FE006,
0915_2209,M026,0.9381947775962632,,749.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9227489671071274,0.938974300148114,0.9380740487655976,0.9539338715354012,0.9342621930076994,2114.0,5413.0,14.0,False,FE006,
0920_1013,M027,0.9391933574750102,,751.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9242952415292088,0.9395082657509992,0.9387373773698529,0.9546362767517558,0.9345887479676999,1946.0,5201.0,14.0,False,FE007,
0920_1512,M028,0.9425319675714664,0.9456,772.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9289587158763016,0.9431735657997424,0.942088452921775,0.9575347241424006,0.937759929980748,2138.0,5592.0,14.0,False,FE008,
0920_1659,M029,0.9412949462365828,,770.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9273387276319603,0.9421773090427018,0.9404489124304496,0.9569971885695848,0.9365601797876328,2279.0,5641.0,14.0,False,FE008,
0921_1058,M030,0.9421041543764088,,910.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9290114927016164,0.9426507484785998,0.9416319577888153,0.9580269904038292,0.9381086436420312,2217.0,6927.0,14.0,False,FE009,
0921_1806,M031,0.9440203669428264,0.9494,1101.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9294393367503152,0.9457928882394988,0.9440168851252538,0.9594761147363472,0.9394319453163124,2538.0,10353.0,-1.0,False,FE010,
0921_2200,M032,0.9406652136697544,,436.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9271949373340732,0.9431206277710218,0.9435306080375852,0.9586634015208474,0.93741551428762,2213.0,4904.0,-1.0,False,FE010,
0921_2348,M033,0.9432365364377844,,606.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9295696182190636,0.9464140792214906,0.9443651302596135,0.9596126162993136,0.9391038455043046,2395.0,6924.0,-1.0,False,FE010,
0922_1304,M034,0.9452860331563312,,676.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9287678610755328,0.9473861009076032,0.9446824496596996,0.9603275182991078,0.9394323574206888,2380.0,7102.0,-1.0,False,FE011,
0922_2235,M035,0.9495589197508668,,753.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9361494585669876,0.9526046356363518,0.9502243714246214,0.9639849885962172,0.9432232732144826,2432.0,8002.0,-1.0,False,FE012,
0923_1308,M036,0.9498502573862264,,1092.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9367768870483728,0.9525065024249836,0.9513295305575206,0.963992293673142,0.9432784218420186,2322.0,9113.0,-1.0,False,FE013,
0924_1701,M037,0.9286911507700047,,395.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9118505004982826,0.9322314704187344,0.9319217448659092,0.9458470395961748,0.9207364990895212,1313.0,1614.0,-1.0,False,FE013,
0924_1742,M038,0.9507651066365772,,1148.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9385844457382962,0.954171784699104,0.9513353844848764,0.9643840563690386,0.9456677620213996,2430.0,10566.0,-1.0,False,FE013,
0924_2350,M039,0.9398314992054596,,1148.0,catboost,5.0,100000.0,100.0,529.0,58.0,0.05,AUC,0.92968619441126,0.94253357129556,0.9437023040446468,0.9551753524480352,0.931995273719468,671.0,4309.0,14.0,False,FE013,
0925_2242,M041,0.9513549977324612,,1076.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9365150748281088,0.9534222831639256,0.9525518556095854,0.9647853961105926,0.9456899789782754,2272.0,11941.0,-1.0,False,FE013,
0927_0814,M042,0.949239146742008,,947.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9339132669692226,0.9521105902391318,0.9514423417742808,0.9634329021050692,0.944560741785806,1764.0,6639.0,-1.0,False,FE013,0.6
0927_1007,M043,0.949363605607656,,1049.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9356070733985121,0.9531191732939762,0.9502641733648926,0.9638442641140759,0.9454930211353706,2154.0,8980.0,-1.0,False,FE013,0.7
0927_2044,M044,0.9517599920237094,,1089.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9373547217664336,0.953161622879064,0.952042657258868,0.9644998255007632,0.9462774197422628,2232.0,9362.0,-1.0,False,FE013,0.8
0928_2107,M047,,,,lightgbm,1.0,2500.0,100.0,529.0,58.0,0.005,auc,,,,,,,,-1.0,False,FE013,0.6
